Season,Team,Player,Position,Nationality
2019-2020,Bournemouth,Will Dennis,,
2019-2020,Bournemouth,Nathan Aké,,
2019-2020,Bournemouth,Steve Cook,,
2019-2020,Bournemouth,Lloyd Kelly,,
2019-2020,Bournemouth,Chris Mepham,,
2019-2020,Bournemouth,Jack Simpson,,
2019-2020,Bournemouth,Corey Jordan,,
2019-2020,Bournemouth,Diego Rico,,
2019-2020,Bournemouth,Charlie Daniels,,
2019-2020,Bournemouth,Adam Smith,,
2019-2020,Bournemouth,Jack Stacey,,
2019-2020,Bournemouth,Simon Francis,,
2019-2020,Bournemouth,Brennan Camp,,
2019-2020,Bournemouth,Brooklyn Genesini,,
2019-2020,Bournemouth,Jefferson Lerma,,
2019-2020,Bournemouth,Matt Butcher,,
2019-2020,Bournemouth,Lewis Cook,,
2019-2020,Bournemouth,Philip Billing,,
2019-2020,Bournemouth,Dan Gosling,,
2019-2020,Bournemouth,Andrew Surman,,
2019-2020,Bournemouth,Nnamdi Ofoborh,,
2019-2020,Bournemouth,Gavin Kilkenny,,
2019-2020,Bournemouth,Kyle Taylor,,
2019-2020,Bournemouth,Ryan Fraser,,
2019-2020,Bournemouth,Arnaut Danjuma,,
2019-2020,Bournemouth,Junior Stanislas,,
2019-2020,Bournemouth,David Brooks,,
2019-2020,Bournemouth,Harry Wilson,,
2019-2020,Bournemouth,Jordon Ibe,,
2019-2020,Bournemouth,Alexandru Dobre,,
2019-2020,Bournemouth,Callum Wilson,,
2019-2020,Bournemouth,Joshua King,,
2019-2020,Bournemouth,Dominic Solanke,,
2019-2020,Bournemouth,Jermain Defoe,,
2019-2020,Bournemouth,Sam Surridge,,
2019-2020,Bournemouth,Christian Saydee,,
2019-2020,Newcastle,Martin Dúbravka,,
2019-2020,Newcastle,Karl Darlow,,
2019-2020,Newcastle,Rob Elliot,,
2019-2020,Newcastle,Jamaal Lascelles,,
2019-2020,Newcastle,Fabian Schär,,
2019-2020,Newcastle,Jetro Willems,,
2019-2020,Newcastle,Federico Fernández,,
2019-2020,Newcastle,Ciaran Clark,,
2019-2020,Newcastle,Florian Lejeune,,
2019-2020,Newcastle,Lewis Cass,,
2019-2020,Newcastle,Kell Watts,,
2019-2020,Newcastle,Danny Rose,,
2019-2020,Newcastle,Paul Dummett,,
2019-2020,Newcastle,Liam Gibson,,
2019-2020,Newcastle,Valentino Lazaro,,
2019-2020,Newcastle,DeAndre Yedlin,,
2019-2020,Newcastle,Emil Krafth,,
2019-2020,Newcastle,Javier Manquillo,,
2019-2020,Newcastle,Jamie Sterry,,
2019-2020,Newcastle,Isaac Hayden,,
2019-2020,Newcastle,Nabil Bentaleb,,
2019-2020,Newcastle,Sung-yueng Ki,,
2019-2020,Newcastle,Jack Colback,,
2019-2020,Newcastle,Dan Barlaser,,
2019-2020,Newcastle,Joelinton,,
2019-2020,Newcastle,Sean Longstaff,,
2019-2020,Newcastle,Jonjo Shelvey,,
2019-2020,Newcastle,Matty Longstaff,,
2019-2020,Newcastle,Jack Young,,
2019-2020,Newcastle,Matt Ritchie,,
2019-2020,Newcastle,Henri Saivet,,
2019-2020,Newcastle,Allan Saint-Maximin,,
2019-2020,Newcastle,Christian Atsu,,
2019-2020,Newcastle,Rolando Aarons,,
2019-2020,Newcastle,Elias Sørensen,,
2019-2020,Newcastle,Miguel Almirón,,
2019-2020,Newcastle,Jacob Murphy,,
2019-2020,Newcastle,Tom Allan,,
2019-2020,Newcastle,Dwight Gayle,,
2019-2020,Newcastle,Yoshinori Muto,,
2019-2020,Newcastle,Andy Carroll,,
2019-2020,Aston Villa,Tom Heaton,,
2019-2020,Aston Villa,Lovre Kalinic,,
2019-2020,Aston Villa,Jed Steer,,
2019-2020,Aston Villa,Ørjan Nyland,,
2019-2020,Aston Villa,Pepe Reina,,
2019-2020,Aston Villa,Matija Sarkic,,
2019-2020,Aston Villa,Tyrone Mings,,
2019-2020,Aston Villa,Björn Engels,,
2019-2020,Aston Villa,Ezri Konsa,,
2019-2020,Aston Villa,Kortney Hause,,
2019-2020,Aston Villa,James Chester,,
2019-2020,Aston Villa,Matt Targett,,
2019-2020,Aston Villa,Neil Taylor,,
2019-2020,Aston Villa,Frédéric Guilbert,,
2019-2020,Aston Villa,Ahmed El Mohamady,,
2019-2020,Aston Villa,James Bree,,
2019-2020,Aston Villa,Kaine Kesler-Hayden,,
2019-2020,Aston Villa,Marvelous Nakamba,,
2019-2020,Aston Villa,Douglas Luiz,,
2019-2020,Aston Villa,John McGinn,,
2019-2020,Aston Villa,Conor Hourihane,,
2019-2020,Aston Villa,Danny Drinkwater,,
2019-2020,Aston Villa,Henri Lansbury,,
2019-2020,Aston Villa,Aaron Tshibola,,
2019-2020,Aston Villa,Jacob Ramsey,,
2019-2020,Aston Villa,Jack Grealish,,
2019-2020,Aston Villa,Mahmoud Trezeguet,,
2019-2020,Aston Villa,Andre Green,,
2019-2020,Aston Villa,Anwar El Ghazi,,
2019-2020,Aston Villa,Jota Peleteiro,,
2019-2020,Aston Villa,Indiana Vassilev,,
2019-2020,Aston Villa,Wesley Moraes,,
2019-2020,Aston Villa,Ally Samatta,,
2019-2020,Aston Villa,Jonathan Kodjia,,
2019-2020,Aston Villa,Borja Bastón,,
2019-2020,Aston Villa,Keinan Davis,,
2019-2020,Aston Villa,Rushian Hepburn-Murphy,,
2019-2020,Aston Villa,Cameron Archer,,
2019-2020,Southampton FC,Fraser Forster,,
2019-2020,Southampton FC,Angus Gunn,,
2019-2020,Southampton FC,Alex McCarthy,,
2019-2020,Southampton FC,Harry Lewis,,
2019-2020,Southampton FC,Jack Rose,,
2019-2020,Southampton FC,Jannik Vestergaard,,
2019-2020,Southampton FC,Jan Bednarek,,
2019-2020,Southampton FC,Kevin Danso,,
2019-2020,Southampton FC,Jack Stephens,,
2019-2020,Southampton FC,Maya Yoshida,,
2019-2020,Southampton FC,Ryan Bertrand,,
2019-2020,Southampton FC,Sam McQueen,,
2019-2020,Southampton FC,Jake Vokins,,
2019-2020,Southampton FC,Cédric Soares,,
2019-2020,Southampton FC,Kyle Walker-Peters,,
2019-2020,Southampton FC,Yan Valery,,
2019-2020,Southampton FC,Pierre-Emile Højbjerg,,
2019-2020,Southampton FC,Oriol Romeu,,
2019-2020,Southampton FC,James Ward-Prowse,,
2019-2020,Southampton FC,Stuart Armstrong,,
2019-2020,Southampton FC,Callum Slattery,,
2019-2020,Southampton FC,Alexandre Jankewitz,,
2019-2020,Southampton FC,Will Smallbone,,
2019-2020,Southampton FC,Will Ferry,,
2019-2020,Southampton FC,Sofiane Boufal,,
2019-2020,Southampton FC,Jake Hesketh,,
2019-2020,Southampton FC,Jacob Maddox,,
2019-2020,Southampton FC,Moussa Djenepo,,
2019-2020,Southampton FC,Nathan Redmond,,
2019-2020,Southampton FC,Nathan Tella,,
2019-2020,Southampton FC,Mohamed Elyounoussi,,
2019-2020,Southampton FC,Danny Ings,,
2019-2020,Southampton FC,Ché Adams,,
2019-2020,Southampton FC,Michael Obafemi,,
2019-2020,Southampton FC,Shane Long,,
2019-2020,Southampton FC,Dan Nlundulu,,
2019-2020,Brighton & Hove Albion,Mathew Ryan,,
2019-2020,Brighton & Hove Albion,David Button,,
2019-2020,Brighton & Hove Albion,Jason Steele,,
2019-2020,Brighton & Hove Albion,Lewis Dunk,,
2019-2020,Brighton & Hove Albion,Adam Webster,,
2019-2020,Brighton & Hove Albion,Shane Duffy,,
2019-2020,Brighton & Hove Albion,Bernardo,,
2019-2020,Brighton & Hove Albion,Dan Burn,,
2019-2020,Brighton & Hove Albion,Leon Balogun,,
2019-2020,Brighton & Hove Albion,Warren O'Hora,,
2019-2020,Brighton & Hove Albion,Gaëtan Bong,,
2019-2020,Brighton & Hove Albion,Alex Cochrane,,
2019-2020,Brighton & Hove Albion,Haydon Roberts,,
2019-2020,Brighton & Hove Albion,Martín Montoya,,
2019-2020,Brighton & Hove Albion,Tariq Lamptey,,
2019-2020,Brighton & Hove Albion,Romaric Yapi,,
2019-2020,Brighton & Hove Albion,Archie Davies,,
2019-2020,Brighton & Hove Albion,Yves Bissouma,,
2019-2020,Brighton & Hove Albion,Tudor Băluță,,
2019-2020,Brighton & Hove Albion,Davy Pröpper,,
2019-2020,Brighton & Hove Albion,Alexis Mac Allister,,
2019-2020,Brighton & Hove Albion,Pascal Groß,,
2019-2020,Brighton & Hove Albion,Aaron Mooy,,
2019-2020,Brighton & Hove Albion,Dale Stephens,,
2019-2020,Brighton & Hove Albion,Steven Alzate,,
2019-2020,Brighton & Hove Albion,Beram Kayal,,
2019-2020,Brighton & Hove Albion,Max Sanders,,
2019-2020,Brighton & Hove Albion,Taylor Richards,,
2019-2020,Brighton & Hove Albion,Jordan Davies,,
2019-2020,Brighton & Hove Albion,Jack Spong,,
2019-2020,Brighton & Hove Albion,Teddy Jenks,,
2019-2020,Brighton & Hove Albion,Ezequiel Schelotto,,
2019-2020,Brighton & Hove Albion,Leandro Trossard,,
2019-2020,Brighton & Hove Albion,José Izquierdo,,
2019-2020,Brighton & Hove Albion,Soufyan Ahannach,,
2019-2020,Brighton & Hove Albion,Alireza Jahanbakhsh,,
2019-2020,Brighton & Hove Albion,Solly March,,
2019-2020,Brighton & Hove Albion,Peter Gwargis,,
2019-2020,Brighton & Hove Albion,Ryan Longman,,
2019-2020,Brighton & Hove Albion,Neal Maupay,,
2019-2020,Brighton & Hove Albion,Jürgen Locadia,,
2019-2020,Brighton & Hove Albion,Aaron Connolly,,
2019-2020,Brighton & Hove Albion,Florin Andone,,
2019-2020,Brighton & Hove Albion,Glenn Murray,,
2019-2020,Brighton & Hove Albion,Bojan Radulović,,
2019-2020,Watford FC,Ben Foster,,
2019-2020,Watford FC,Pontus Dahlberg,,
2019-2020,Watford FC,Heurelho Gomes,,
2019-2020,Watford FC,Daniel Bachmann,,
2019-2020,Watford FC,Adam Parkes,,
2019-2020,Watford FC,Christian Kabasele,,
2019-2020,Watford FC,Adam Masina,,
2019-2020,Watford FC,Craig Dawson,,
2019-2020,Watford FC,Craig Cathcart,,
2019-2020,Watford FC,Adrian Mariappa,,
2019-2020,Watford FC,Sebastian Prödl,,
2019-2020,Watford FC,Mason Barrett,,
2019-2020,Watford FC,Bayli Spencer-Adams,,
2019-2020,Watford FC,Andi Janjeva,,
2019-2020,Watford FC,Jose Cholevas,,
2019-2020,Watford FC,Kiko Femenía,,
2019-2020,Watford FC,Daryl Janmaat,,
2019-2020,Watford FC,Dimitri Foulquier,,
2019-2020,Watford FC,Jamal Balogun,,
2019-2020,Watford FC,Étienne Capoue,,
2019-2020,Watford FC,Nathaniel Chalobah,,
2019-2020,Watford FC,Callum Whelan,,
2019-2020,Watford FC,Will Hughes,,
2019-2020,Watford FC,Roberto Pereyra,,
2019-2020,Watford FC,Tom Cleverley,,
2019-2020,Watford FC,Domingos Quina,,
2019-2020,Watford FC,Tom Dele-Bashiru,,
2019-2020,Watford FC,Henry Wise,,
2019-2020,Watford FC,Abdoulaye Doucouré,,
2019-2020,Watford FC,Ken Sema,,
2019-2020,Watford FC,Adalberto Peñaranda,,
2019-2020,Watford FC,Jayden Bennetts,,
2019-2020,Watford FC,Ismaïla Sarr,,
2019-2020,Watford FC,Joseph Hungbo,,
2019-2020,Watford FC,Kaylen Hinds,,
2019-2020,Watford FC,Gerard Deulofeu,,
2019-2020,Watford FC,João Pedro,,
2019-2020,Watford FC,Andre Gray,,
2019-2020,Watford FC,Troy Deeney,,
2019-2020,Watford FC,Ignacio Pussetto,,
2019-2020,Watford FC,Danny Welbeck,,
2019-2020,Watford FC,Isaac Success,,
2019-2020,Watford FC,Sam Dalby,,
2019-2020,Crystal Palace,Vicente Guaita,,
2019-2020,Crystal Palace,Wayne Hennessey,,
2019-2020,Crystal Palace,Stephen Henderson,,
2019-2020,Crystal Palace,Mamadou Sakho,,
2019-2020,Crystal Palace,James Tomkins,,
2019-2020,Crystal Palace,Gary Cahill,,
2019-2020,Crystal Palace,Scott Dann,,
2019-2020,Crystal Palace,Ryan Inniss,,
2019-2020,Crystal Palace,Sam Woods,,
2019-2020,Crystal Palace,Nikola Tavares,,
2019-2020,Crystal Palace,Patrick van Aanholt,,
2019-2020,Crystal Palace,Tyrick Mitchell,,
2019-2020,Crystal Palace,Joel Ward,,
2019-2020,Crystal Palace,Martin Kelly,,
2019-2020,Crystal Palace,Luka Milivojevic,,
2019-2020,Crystal Palace,Cheikhou Kouyaté,,
2019-2020,Crystal Palace,Jaïro Riedewald,,
2019-2020,Crystal Palace,Max Meyer,,
2019-2020,Crystal Palace,James McArthur,,
2019-2020,Crystal Palace,Víctor Camarasa,,
2019-2020,Crystal Palace,James McCarthy,,
2019-2020,Crystal Palace,Nya Kirby,,
2019-2020,Crystal Palace,Jeffrey Schlupp,,
2019-2020,Crystal Palace,Giovanni McGregor,,
2019-2020,Crystal Palace,Wilfried Zaha,,
2019-2020,Crystal Palace,James Daly,,
2019-2020,Crystal Palace,John-Kymani Gordon,,
2019-2020,Crystal Palace,Brandon Pierrick,,
2019-2020,Crystal Palace,Andros Townsend,,
2019-2020,Crystal Palace,Cenk Tosun,,
2019-2020,Crystal Palace,Christian Benteke,,
2019-2020,Crystal Palace,Jordan Ayew,,
2019-2020,Crystal Palace,Connor Wickham,,
2019-2020,Burnley FC,Nick Pope,,
2019-2020,Burnley FC,Joe Hart,,
2019-2020,Burnley FC,Bailey Peacock-Farrell,,
2019-2020,Burnley FC,Adam Legzdins,,
2019-2020,Burnley FC,Lukas Jensen,,
2019-2020,Burnley FC,James Tarkowski,,
2019-2020,Burnley FC,Ben Mee,,
2019-2020,Burnley FC,Ben Gibson,,
2019-2020,Burnley FC,Kevin Long,,
2019-2020,Burnley FC,Bobby Thomas,,
2019-2020,Burnley FC,Charlie Taylor,,
2019-2020,Burnley FC,Erik Pieters,,
2019-2020,Burnley FC,Anthony Driscoll-Glennon,,
2019-2020,Burnley FC,Ali Koiki,,
2019-2020,Burnley FC,Matthew Lowton,,
2019-2020,Burnley FC,Phil Bardsley,,
2019-2020,Burnley FC,Jimmy Dunne,,
2019-2020,Burnley FC,Jack Cork,,
2019-2020,Burnley FC,Ashley Westwood,,
2019-2020,Burnley FC,Jeff Hendrick,,
2019-2020,Burnley FC,Josh Brownhill,,
2019-2020,Burnley FC,Danny Drinkwater,,
2019-2020,Burnley FC,Mace Goodridge,,
2019-2020,Burnley FC,Josh Benson,,
2019-2020,Burnley FC,Robbie Brady,,
2019-2020,Burnley FC,Lewis Richardson,,
2019-2020,Burnley FC,Dwight McNeil,,
2019-2020,Burnley FC,Jóhann Berg Gudmundsson,,
2019-2020,Burnley FC,Aaron Lennon,,
2019-2020,Burnley FC,Max Thompson,,
2019-2020,Burnley FC,Chris Wood,,
2019-2020,Burnley FC,Ashley Barnes,,
2019-2020,Burnley FC,Jay Rodríguez,,
2019-2020,Burnley FC,Matej Vydra,,
2019-2020,Burnley FC,Joel Mumbongo,,
2019-2020,Norwich City,Tim Krul,,
2019-2020,Norwich City,Ralf Fährmann,,
2019-2020,Norwich City,Michael McGovern,,
2019-2020,Norwich City,Archie Mair,,
2019-2020,Norwich City,Ben Godfrey,,
2019-2020,Norwich City,Christoph Zimmermann,,
2019-2020,Norwich City,Grant Hanley,,
2019-2020,Norwich City,Timm Klose,,
2019-2020,Norwich City,Sean Raggett,,
2019-2020,Norwich City,Akin Famewo,,
2019-2020,Norwich City,Jamal Lewis,,
2019-2020,Norwich City,Sam Byram,,
2019-2020,Norwich City,Philip Heise,,
2019-2020,Norwich City,Sam McCallum,,
2019-2020,Norwich City,Max Aarons,,
2019-2020,Norwich City,Jordan Thomas,,
2019-2020,Norwich City,Ibrahim Amadou,,
2019-2020,Norwich City,Tom Trybull,,
2019-2020,Norwich City,Alexander Tettey,,
2019-2020,Norwich City,Ondrej Duda,,
2019-2020,Norwich City,Kenny McLean,,
2019-2020,Norwich City,Moritz Leitner,,
2019-2020,Norwich City,Mario Vrancic,,
2019-2020,Norwich City,Louis Thompson,,
2019-2020,Norwich City,Daniel Adshead,,
2019-2020,Norwich City,Todd Cantwell,,
2019-2020,Norwich City,Emiliano Buendía,,
2019-2020,Norwich City,Marco Stiepermann,,
2019-2020,Norwich City,Lukas Rupp,,
2019-2020,Norwich City,Onel Hernández,,
2019-2020,Norwich City,Josh Martin,,
2019-2020,Norwich City,Patrick Roberts,,
2019-2020,Norwich City,Teemu Pukki,,
2019-2020,Norwich City,Josip Drmic,,
2019-2020,Norwich City,Adam Idah,,
2019-2020,Norwich City,Dennis Srbeny,,
2019-2020,Norwich City,Carlton Morris,,
2019-2020,Norwich City,Mason Bloomfield,,
2019-2020,Sheffield Utd,Dean Henderson,,
2019-2020,Sheffield Utd,Michael Verrips,,
2019-2020,Sheffield Utd,Simon Moore,,
2019-2020,Sheffield Utd,Jake Eastwood,,
2019-2020,Sheffield Utd,Jack O'Connell,,
2019-2020,Sheffield Utd,John Egan,,
2019-2020,Sheffield Utd,Panagiotis Retsos,,
2019-2020,Sheffield Utd,Chris Basham,,
2019-2020,Sheffield Utd,Jack Robinson,,
2019-2020,Sheffield Utd,Jack Rodwell,,
2019-2020,Sheffield Utd,Richard Stearman,,
2019-2020,Sheffield Utd,Phil Jagielka,,
2019-2020,Sheffield Utd,Ben Heneghan,,
2019-2020,Sheffield Utd,Kean Bryan,,
2019-2020,Sheffield Utd,Enda Stevens,,
2019-2020,Sheffield Utd,George Baldock,,
2019-2020,Sheffield Utd,Kieron Freeman,,
2019-2020,Sheffield Utd,Sander Berge,,
2019-2020,Sheffield Utd,John Lundstram,,
2019-2020,Sheffield Utd,Muhamed Besic,,
2019-2020,Sheffield Utd,John Fleck,,
2019-2020,Sheffield Utd,Oliver Norwood,,
2019-2020,Sheffield Utd,Ben Osborn,,
2019-2020,Sheffield Utd,Luke Freeman,,
2019-2020,Sheffield Utd,Ravel Morrison,,
2019-2020,Sheffield Utd,Ricky Holmes,,
2019-2020,Sheffield Utd,Nathan Thomas,,
2019-2020,Sheffield Utd,Lys Mousset,,
2019-2020,Sheffield Utd,Oli McBurnie,,
2019-2020,Sheffield Utd,Callum Robinson,,
2019-2020,Sheffield Utd,Billy Sharp,,
2019-2020,Sheffield Utd,David McGoldrick,,
2019-2020,Sheffield Utd,Richairo Zivkovic,,
2019-2020,Sheffield Utd,Leon Clarke,,
2020-2021,Man City,Ederson,,
2020-2021,Man City,Zack Steffen,,
2020-2021,Man City,Scott Carson,,
2020-2021,Man City,James Trafford,,
2020-2021,Man City,Rúben Dias,,
2020-2021,Man City,Aymeric Laporte,,
2020-2021,Man City,Nathan Aké,,
2020-2021,Man City,John Stones,,
2020-2021,Man City,Eric García,,
2020-2021,Man City,Nicolás Otamendi,,
2020-2021,Man City,Taylor Harwood-Bellis,,
2020-2021,Man City,Philippe Sandler,,
2020-2021,Man City,Luke Mbete,,
2020-2021,Man City,Oleksandr Zinchenko,,
2020-2021,Man City,Benjamin Mendy,,
2020-2021,Man City,João Cancelo,,
2020-2021,Man City,Kyle Walker,,
2020-2021,Man City,Rodri,,
2020-2021,Man City,Fernandinho,,
2020-2021,Man City,Claudio Gomes,,
2020-2021,Man City,İlkay Gündoğan,,
2020-2021,Man City,Adrián Bernabé,,
2020-2021,Man City,Tommy Doyle,,
2020-2021,Man City,Felix Nmecha,,
2020-2021,Man City,Kevin De Bruyne,,
2020-2021,Man City,Bernardo Silva,,
2020-2021,Man City,Cole Palmer,,
2020-2021,Man City,Jack Harrison,,
2020-2021,Man City,Raheem Sterling,,
2020-2021,Man City,Phil Foden,,
2020-2021,Man City,Riyad Mahrez,,
2020-2021,Man City,Patrick Roberts,,
2020-2021,Man City,Gabriel Jesus,,
2020-2021,Man City,Ferran Torres,,
2020-2021,Man City,Sergio Agüero,,
2020-2021,Man City,Liam Delap,,
2020-2021,Liverpool FC,Alisson,,
2020-2021,Liverpool FC,Caoimhín Kelleher,,
2020-2021,Liverpool FC,Adrián,,
2020-2021,Liverpool FC,Harvey Davies,,
2020-2021,Liverpool FC,Vitezslav Jaros,,
2020-2021,Liverpool FC,Jakub Ojrzynski,,
2020-2021,Liverpool FC,Liam Hughes,,
2020-2021,Liverpool FC,Virgil van Dijk,,
2020-2021,Liverpool FC,Joe Gomez,,
2020-2021,Liverpool FC,Ozan Kabak,,
2020-2021,Liverpool FC,Joël Matip,,
2020-2021,Liverpool FC,Nat Phillips,,
2020-2021,Liverpool FC,Rhys Williams,,
2020-2021,Liverpool FC,Ben Davies,,
2020-2021,Liverpool FC,Sepp van den Berg,,
2020-2021,Liverpool FC,Billy Koumetio,,
2020-2021,Liverpool FC,Andrew Robertson,,
2020-2021,Liverpool FC,Konstantinos Tsimikas,,
2020-2021,Liverpool FC,Neco Williams,,
2020-2021,Liverpool FC,Trent Alexander-Arnold,,
2020-2021,Liverpool FC,Fabinho,,
2020-2021,Liverpool FC,Jordan Henderson,,
2020-2021,Liverpool FC,Marko Grujić,,
2020-2021,Liverpool FC,Naby Keïta,,
2020-2021,Liverpool FC,Georginio Wijnaldum,,
2020-2021,Liverpool FC,Thiago Alcántara,,
2020-2021,Liverpool FC,Curtis Jones,,
2020-2021,Liverpool FC,Alex Oxlade-Chamberlain,,
2020-2021,Liverpool FC,James Milner,,
2020-2021,Liverpool FC,Leighton Clarkson,,
2020-2021,Liverpool FC,Jake Cain,,
2020-2021,Liverpool FC,Harvey Elliott,,
2020-2021,Liverpool FC,Xherdan Shaqiri,,
2020-2021,Liverpool FC,Ben Woodburn,,
2020-2021,Liverpool FC,Sadio Mané,,
2020-2021,Liverpool FC,Diogo Jota,,
2020-2021,Liverpool FC,Takumi Minamino,,
2020-2021,Liverpool FC,Mohamed Salah,,
2020-2021,Liverpool FC,Harry Wilson,,
2020-2021,Liverpool FC,Sheyi Ojo,,
2020-2021,Liverpool FC,Roberto Firmino,,
2020-2021,Liverpool FC,Rhian Brewster,,
2020-2021,Liverpool FC,Divock Origi,,
2020-2021,Chelsea FC,Edouard Mendy,,
2020-2021,Chelsea FC,Kepa Arrizabalaga,,
2020-2021,Chelsea FC,Jamal Blackman,,
2020-2021,Chelsea FC,Nathan Baxter,,
2020-2021,Chelsea FC,Willy Caballero,,
2020-2021,Chelsea FC,Karlo Ziger,,
2020-2021,Chelsea FC,Kurt Zouma,,
2020-2021,Chelsea FC,Andreas Christensen,,
2020-2021,Chelsea FC,Antonio Rüdiger,,
2020-2021,Chelsea FC,Fikayo Tomori,,
2020-2021,Chelsea FC,César Azpilicueta,,
2020-2021,Chelsea FC,Marcos Alonso,,
2020-2021,Chelsea FC,Thiago Silva,,
2020-2021,Chelsea FC,Jake Clarke-Salter,,
2020-2021,Chelsea FC,Ben Chilwell,,
2020-2021,Chelsea FC,Emerson,,
2020-2021,Chelsea FC,Reece James,,
2020-2021,Chelsea FC,Tino Livramento,,
2020-2021,Chelsea FC,N'Golo Kanté,,
2020-2021,Chelsea FC,Jorginho,,
2020-2021,Chelsea FC,Ethan Ampadu,,
2020-2021,Chelsea FC,Billy Gilmour,,
2020-2021,Chelsea FC,Mateo Kovacic,,
2020-2021,Chelsea FC,Ross Barkley,,
2020-2021,Chelsea FC,Ruben Loftus-Cheek,,
2020-2021,Chelsea FC,Conor Gallagher,,
2020-2021,Chelsea FC,Lewis Bate,,
2020-2021,Chelsea FC,Mason Mount,,
2020-2021,Chelsea FC,Tino Anjorin,,
2020-2021,Chelsea FC,Timo Werner,,
2020-2021,Chelsea FC,Callum Hudson-Odoi,,
2020-2021,Chelsea FC,Izzy Brown,,
2020-2021,Chelsea FC,Charly Musonda Jr.,,
2020-2021,Chelsea FC,Christian Pulisic,,
2020-2021,Chelsea FC,Hakim Ziyech,,
2020-2021,Chelsea FC,Kai Havertz,,
2020-2021,Chelsea FC,Tammy Abraham,,
2020-2021,Chelsea FC,Michy Batshuayi,,
2020-2021,Chelsea FC,Olivier Giroud,,
2020-2021,Man United,Dean Henderson,,
2020-2021,Man United,David de Gea,,
2020-2021,Man United,Sergio Romero,,
2020-2021,Man United,Joel Pereira,,
2020-2021,Man United,Nathan Bishop,,
2020-2021,Man United,Lee Grant,,
2020-2021,Man United,Harry Maguire,,
2020-2021,Man United,Victor Lindelöf,,
2020-2021,Man United,Eric Bailly,,
2020-2021,Man United,Axel Tuanzebe,,
2020-2021,Man United,Phil Jones,,
2020-2021,Man United,Teden Mengi,,
2020-2021,Man United,Will Fish,,
2020-2021,Man United,Luke Shaw,,
2020-2021,Man United,Alex Telles,,
2020-2021,Man United,Brandon Williams,,
2020-2021,Man United,Aaron Wan-Bissaka,,
2020-2021,Man United,Diogo Dalot,,
2020-2021,Man United,Timothy Fosu-Mensah,,
2020-2021,Man United,Nemanja Matić,,
2020-2021,Man United,Paul Pogba,,
2020-2021,Man United,Scott McTominay,,
2020-2021,Man United,Donny van de Beek,,
2020-2021,Man United,Fred,,
2020-2021,Man United,Ethan Galbraith,,
2020-2021,Man United,Bruno Fernandes,,
2020-2021,Man United,Jesse Lingard,,
2020-2021,Man United,Juan Mata,,
2020-2021,Man United,Hannibal,,
2020-2021,Man United,Marcus Rashford,,
2020-2021,Man United,Shola Shoretire,,
2020-2021,Man United,Mason Greenwood,,
2020-2021,Man United,Amad Diallo,,
2020-2021,Man United,Daniel James,,
2020-2021,Man United,Facundo Pellistri,,
2020-2021,Man United,Anthony Elanga,,
2020-2021,Man United,Anthony Martial,,
2020-2021,Man United,Edinson Cavani,,
2020-2021,Man United,Odion Ighalo,,
2020-2021,Tottenham,Hugo Lloris,,
2020-2021,Tottenham,Paulo Gazzaniga,,
2020-2021,Tottenham,Joe Hart,,
2020-2021,Tottenham,Alfie Whiteman,,
2020-2021,Tottenham,Brandon Austin,,
2020-2021,Tottenham,Davinson Sánchez,,
2020-2021,Tottenham,Eric Dier,,
2020-2021,Tottenham,Ben Davies,,
2020-2021,Tottenham,Toby Alderweireld,,
2020-2021,Tottenham,Joe Rodon,,
2020-2021,Tottenham,Japhet Tanganga,,
2020-2021,Tottenham,Cameron Carter-Vickers,,
2020-2021,Tottenham,Sergio Reguilón,,
2020-2021,Tottenham,Ryan Sessegnon,,
2020-2021,Tottenham,Danny Rose,,
2020-2021,Tottenham,Dennis Cirkin,,
2020-2021,Tottenham,Serge Aurier,,
2020-2021,Tottenham,Matt Doherty,,
2020-2021,Tottenham,Marcel Lavinier,,
2020-2021,Tottenham,Pierre-Emile Højbjerg,,
2020-2021,Tottenham,Oliver Skipp,,
2020-2021,Tottenham,Harvey White,,
2020-2021,Tottenham,Jamie Bowden,,
2020-2021,Tottenham,Tanguy Ndombélé,,
2020-2021,Tottenham,Harry Winks,,
2020-2021,Tottenham,Gedson Fernandes,,
2020-2021,Tottenham,Moussa Sissoko,,
2020-2021,Tottenham,Nile John,,
2020-2021,Tottenham,Dele Alli,,
2020-2021,Tottenham,Giovani Lo Celso,,
2020-2021,Tottenham,Alfie Devine,,
2020-2021,Tottenham,Heung-min Son,,
2020-2021,Tottenham,Steven Bergwijn,,
2020-2021,Tottenham,Jack Clarke,,
2020-2021,Tottenham,Lucas Moura,,
2020-2021,Tottenham,Gareth Bale,,
2020-2021,Tottenham,Erik Lamela,,
2020-2021,Tottenham,Dilan Markanday,,
2020-2021,Tottenham,Harry Kane,,
2020-2021,Tottenham,Carlos Vinícius,,
2020-2021,Tottenham,Dane Scarlett,,
2020-2021,Arsenal FC,Emiliano Martínez,,
2020-2021,Arsenal FC,Bernd Leno,,
2020-2021,Arsenal FC,Mathew Ryan,,
2020-2021,Arsenal FC,Rúnar Alex Rúnarsson,,
2020-2021,Arsenal FC,Karl Hein,,
2020-2021,Arsenal FC,Matt Macey,,
2020-2021,Arsenal FC,Dejan Iliev,,
2020-2021,Arsenal FC,James Hillson,,
2020-2021,Arsenal FC,Arthur Okonkwo,,
